location,sample date,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Dissolved oxygen,Water temperature,measure,value
Achara,2010-07-08,       2.23,       6.75,       7.62,      21.00,Ammonium,       0.05
Achara,2010-07-16,       2.00,       6.00,       7.50,      22.00,Ammonium,       0.09
Achara,2010-08-04,       2.00,       5.83,       7.88,      20.83,Ammonium,       0.07
Achara,2010-08-07,       2.00,       5.67,       8.27,      19.67,Ammonium,       0.09
Achara,2010-08-08,       2.00,       5.50,       8.65,      18.50,Ammonium,       0.09
Achara,2010-08-18,       2.00,       5.33,       9.03,      17.33,Ammonium,       0.10
Achara,2010-09-09,       2.00,       5.17,       9.42,      16.17,Ammonium,       0.04
Achara,2010-09-17,       2.00,       5.00,       9.80,      15.00,Ammonium,       0.11
Achara,2010-10-04,       2.11,       5.71,       9.87,      14.71,Ammonium,       0.03
Achara,2010-10-12,       2.23,       6.43,       9.94,      14.43,Ammonium,       0.15
Achara,2010-10-13,       2.34,       7.14,      10.01,      14.14,Ammonium,       0.09
Achara,2010-10-14,       2.46,       7.86,      10.09,      13.86,Ammonium,       0.02
Achara,2010-10-15,       2.57,       8.57,      10.16,      13.57,Ammonium,       0.02
Achara,2010-10-16,       2.69,       9.29,      10.23,      13.29,Ammonium,       0.02
Achara,2010-10-22,       2.80,      10.00,      10.30,      13.00,Ammonium,       0.15
Achara,2010-10-23,       2.77,       9.75,      10.58,      10.75,Ammonium,       0.12
Achara,2010-10-27,       2.75,       9.50,      10.85,       8.50,Ammonium,       0.10
Achara,2010-11-02,       2.73,       9.25,      11.12,       6.25,Ammonium,       0.07
Achara,2010-11-12,       2.70,       9.00,      11.40,       4.00,Ammonium,       0.15
Achara,2010-11-13,       2.30,       7.50,      11.25,       3.50,Ammonium,       0.05
Achara,2010-11-19,       1.90,       6.00,      11.10,       3.00,Ammonium,       0.11
Achara,2010-12-08,       2.30,       7.20,       8.10,      23.00,Ammonium,       0.16
Achara,2011-01-21,       3.60,      10.00,      11.70,       3.00,Ammonium,       0.10
Achara,2011-01-22,       2.70,       8.00,      11.40,       4.00,Ammonium,       0.22
Achara,2011-02-18,       4.90,       0.00,      14.40,       1.00,Ammonium,       0.14
Achara,2011-03-18,       3.40,       9.00,      12.30,       7.00,Ammonium,       0.16
Achara,2011-03-31,       3.00,       0.00,      12.58,       9.00,Ammonium,       0.04
Achara,2011-04-08,       4.40,      10.00,       6.60,      25.00,Ammonium,       0.07
Achara,2011-04-16,       5.80,       9.00,       9.20,      15.00,Ammonium,       0.00
Achara,2011-04-22,       1.90,       8.00,       9.40,      15.00,Ammonium,       0.03
Achara,2011-05-13,       4.20,       8.00,       7.40,      17.00,Ammonium,       0.11
Achara,2011-05-27,       4.40,       0.00,       8.60,      22.00,Ammonium,       0.07
Achara,2011-06-17,       5.50,       9.00,      10.30,      22.00,Ammonium,       0.04
Achara,2011-07-14,       4.20,       8.00,       9.80,      23.00,Ammonium,       0.00
Achara,2011-08-10,       5.90,      11.00,       8.10,      18.00,Ammonium,       0.08
Achara,2011-09-07,       1.60,      11.00,       7.90,      23.00,Ammonium,       0.03
Achara,2011-09-14,       2.00,       0.00,       8.50,      22.00,Ammonium,       0.00
Achara,2011-09-28,       1.70,       0.00,       7.60,      23.00,Ammonium,       0.00
Achara,2011-10-12,       1.70,       0.00,      11.70,       1.00,Ammonium,       0.09
Achara,2011-10-13,       1.70,      10.00,       9.10,      13.00,Ammonium,       0.10
Achara,2011-11-02,       2.40,       8.00,      13.00,       5.00,Ammonium,       0.22
Achara,2011-11-06,       4.30,       8.00,       7.10,      23.00,Ammonium,       0.08
Achara,2011-11-08,       3.50,       0.00,       9.40,      25.00,Ammonium,       0.03
Achara,2011-11-11,       3.00,       0.00,       9.80,      12.00,Ammonium,       0.28
Achara,2011-11-26,       1.40,      13.00,      11.50,      11.00,Ammonium,       0.04
Achara,2011-12-15,       2.20,       0.00,      11.80,       8.00,Ammonium,       0.05
Achara,2012-01-20,       1.60,       0.00,      11.80,       4.00,Ammonium,       0.15
Achara,2012-01-21,       1.50,       0.00,      11.60,       2.00,Ammonium,       0.13
Achara,2012-02-17,       3.40,       0.00,      13.80,       4.00,Ammonium,       0.10
Achara,2012-03-15,       3.60,      10.00,      12.50,       4.00,Ammonium,       0.91
Achara,2012-03-17,       2.10,       0.00,      12.90,       4.00,Ammonium,       0.32
Achara,2012-04-21,       3.40,      10.00,      10.20,      14.00,Ammonium,       0.00
Achara,2012-04-29,       1.90,       0.00,       9.30,      17.70,Ammonium,       0.00
Achara,2012-05-19,       1.80,       0.00,       9.40,      12.70,Ammonium,       0.00
Achara,2012-05-27,       1.90,       0.00,       9.11,      17.20,Ammonium,       0.15
Achara,2012-06-16,       3.40,      11.00,       7.20,      25.00,Ammonium,       0.29
Achara,2012-06-28,       1.40,      12.00,       8.20,      20.80,Ammonium,       0.07
Achara,2012-07-12,       2.00,       0.00,      11.50,       8.00,Ammonium,       0.11
Achara,2012-07-21,       1.90,       0.00,       7.70,      22.70,Ammonium,       0.04
Achara,2012-08-07,       1.80,      10.00,       8.90,      22.00,Ammonium,       0.07
Achara,2012-08-16,       1.65,      11.00,       8.20,      24.20,Ammonium,       0.00
Achara,2012-08-26,       1.50,      10.00,       8.40,      22.30,Ammonium,       0.00
Achara,2012-09-21,       2.00,       0.00,       9.70,      17.60,Ammonium,       0.00
Achara,2012-09-27,       1.40,       0.00,       8.90,      16.60,Ammonium,       0.08
Achara,2012-10-02,       2.40,       0.00,      13.10,       3.00,Ammonium,       0.28
Achara,2012-10-12,       2.60,      23.00,      12.40,       5.00,Ammonium,       0.15
Achara,2012-10-18,       1.70,       0.00,      10.10,      11.00,Ammonium,       0.04
Achara,2012-10-21,       2.60,      12.00,       9.50,       8.80,Ammonium,       0.34
Achara,2012-11-16,       2.10,       0.00,       9.70,      11.00,Ammonium,       0.11
Achara,2012-11-22,       2.70,      10.00,      11.00,      11.40,Ammonium,       0.09
Achara,2013-01-17,       3.30,      12.00,      12.00,       6.00,Ammonium,       0.11
Achara,2013-02-15,       2.20,       0.00,      13.30,       3.00,Ammonium,       0.00
Achara,2013-03-14,       2.40,       0.00,      13.40,       8.00,Ammonium,       0.04
Achara,2013-05-16,       2.30,      14.00,       8.20,      12.00,Ammonium,       0.04
Achara,2013-06-14,       1.00,       0.00,       8.40,      21.00,Ammonium,       0.07
Achara,2013-07-18,       2.60,       0.00,       7.20,      26.00,Ammonium,       0.04
Achara,2013-08-16,       1.70,       0.00,       8.00,      23.00,Ammonium,       0.03
Achara,2013-09-21,       2.10,       0.00,       7.40,      20.00,Ammonium,       0.07
Achara,2013-10-18,       1.00,       0.00,       9.80,      10.00,Ammonium,       0.00
Achara,2013-11-15,       2.00,       0.00,      11.00,       7.00,Ammonium,       0.04
Achara,2013-12-04,       2.10,       0.00,      11.70,      11.50,Ammonium,       0.04
Achara,2013-12-13,       1.90,       0.00,       9.90,       8.00,Ammonium,       0.42
Achara,2014-01-16,       2.30,       5.00,      12.00,       2.00,Ammonium,       0.43
Achara,2014-02-15,       4.00,       5.00,      15.10,       1.00,Ammonium,       0.22
Achara,2014-03-19,       3.80,       5.00,      10.90,      14.00,Ammonium,       0.00
Achara,2014-04-18,       1.30,       5.00,       9.00,      11.00,Ammonium,       0.21
Achara,2014-05-16,       2.10,       5.00,       8.70,      10.00,Ammonium,       0.05
Achara,2014-06-20,       3.00,      15.00,       8.30,      21.00,Ammonium,       0.09
Achara,2014-07-18,       1.60,       5.00,       8.70,      22.00,Ammonium,       0.04
Achara,2014-08-16,       2.50,      15.00,       9.60,      20.00,Ammonium,       0.00
Achara,2014-09-19,       1.20,       5.00,       8.30,      19.40,Ammonium,       0.03
Achara,2014-10-17,       0.50,      11.00,      10.30,      16.00,Ammonium,       0.06
Achara,2014-11-21,       1.00,      13.00,      10.70,      10.00,Ammonium,       0.15
Achara,2014-12-12,       2.30,      16.00,      11.80,       1.00,Ammonium,       0.22
Achara,2015-01-17,       2.30,       5.00,      12.50,       6.00,Ammonium,       0.32
Achara,2015-02-21,       3.10,       5.00,      13.30,       3.00,Ammonium,       0.00
Achara,2015-03-13,       2.20,      18.00,      11.10,       8.00,Ammonium,       0.05
Achara,2015-04-18,       1.40,      16.00,      10.70,      12.00,Ammonium,       0.06
Achara,2015-05-15,       2.20,      17.00,       8.30,      17.00,Ammonium,       0.21
Achara,2015-06-20,       2.50,      18.00,       7.60,      23.00,Ammonium,       0.35
Achara,2015-07-16,       1.60,      17.00,       7.40,      22.00,Ammonium,       0.06
Achara,2015-08-22,       1.50,      12.00,       7.60,      23.00,Ammonium,       0.11
Achara,2015-09-12,       2.40,       5.00,      12.10,      20.00,Ammonium,       0.18
Achara,2015-09-18,       1.30,      16.00,       7.30,      17.00,Ammonium,       0.07
Achara,2015-10-16,       1.30,       5.00,       8.20,      15.00,Ammonium,       0.07
Achara,2015-11-20,       1.10,       5.00,      10.00,      11.00,Ammonium,       0.11
Achara,2016-01-15,       2.40,       5.00,      12.60,       5.00,Ammonium,       0.13
Achara,2016-04-16,       2.80,       5.00,       9.90,      13.00,Ammonium,       0.14
Achara,2016-05-13,       1.80,      12.00,       8.70,      18.00,Ammonium,       0.16
Achara,2016-07-16,       1.20,      19.00,       8.20,      26.00,Ammonium,       0.04
Achara,2016-08-20,       0.50,      12.00,       7.90,      23.00,Ammonium,       0.06
Achara,2016-09-16,       0.50,      21.00,       8.00,      21.00,Ammonium,       0.08
Achara,2016-10-12,       1.20,      13.00,      11.50,       7.00,Ammonium,       0.11
Achara,2016-10-22,       0.50,      11.00,       8.80,      15.00,Ammonium,       0.09
Achara,2016-11-06,       2.60,       5.00,      10.20,      26.00,Ammonium,       0.05
Achara,2016-11-19,       0.50,      12.00,      10.40,      12.00,Ammonium,       0.11
Achara,2016-12-02,       2.20,       5.00,      10.90,       7.00,Ammonium,       0.06
Achara,2016-12-03,       1.60,       5.00,      11.30,      10.00,Ammonium,       0.04
Boonsri,2009-01-29,       2.13,       8.56,      10.82,       4.00,Ammonium,       0.41
Boonsri,2009-02-14,       2.11,       8.85,      11.25,       6.00,Ammonium,       0.65
Boonsri,2009-02-27,       1.87,       7.74,      11.12,       5.00,Ammonium,       0.37
Boonsri,2009-03-19,       1.55,       9.05,       9.91,      11.17,Ammonium,       0.37
Boonsri,2009-04-05,       1.55,       6.84,       7.89,      18.00,Ammonium,       0.30
Boonsri,2009-04-23,       1.73,       9.27,       9.01,      17.17,Ammonium,       0.08
Boonsri,2009-05-21,       1.55,       8.66,       6.71,      20.67,Ammonium,       0.29
Boonsri,2009-06-03,       2.39,      10.29,      10.64,       9.00,Ammonium,       0.98
Boonsri,2009-06-25,       1.19,      10.69,       5.73,      27.67,Ammonium,       0.24
Boonsri,2009-07-11,       1.46,      10.97,       8.97,       9.83,Ammonium,       0.05
Boonsri,2009-07-23,       1.28,       8.33,       6.78,      26.83,Ammonium,       0.28
Boonsri,2009-08-21,       1.24,       8.65,       6.65,      24.83,Ammonium,       0.18
Boonsri,2009-09-09,       0.93,       8.67,       6.17,      18.60,Ammonium,       0.21
Boonsri,2009-10-22,       1.55,       8.22,       9.61,       9.83,Ammonium,       0.23
Boonsri,2009-11-01,       1.86,       6.93,      11.08,       6.00,Ammonium,       0.35
Boonsri,2009-12-04,       2.14,       7.95,      10.68,      13.00,Ammonium,       0.14
Boonsri,2009-12-06,       1.57,       9.44,       6.13,      24.50,Ammonium,       0.19
Boonsri,2009-12-07,       1.60,       9.27,       5.87,      19.00,Ammonium,       0.30
Boonsri,2009-12-13,       1.45,      10.33,      10.94,       3.50,Ammonium,       0.17
Boonsri,2010-01-28,       1.31,       7.87,      12.37,       4.00,Ammonium,       0.16
Boonsri,2010-02-18,       2.19,      12.79,      12.76,       1.00,Ammonium,       0.13
Boonsri,2010-03-09,       2.09,      10.23,      11.97,      21.10,Ammonium,       0.30
Boonsri,2010-03-12,       1.98,       7.67,      11.17,       7.27,Ammonium,       0.09
Boonsri,2010-03-25,       1.88,       5.11,      10.38,       8.83,Ammonium,       0.14
Boonsri,2010-04-11,       1.83,       7.47,      10.14,      14.50,Ammonium,       0.07
Boonsri,2010-04-22,       1.79,       9.84,       9.90,      10.83,Ammonium,       0.08
Boonsri,2010-05-19,       1.85,      10.24,       8.80,      18.83,Ammonium,       0.04
Boonsri,2010-06-23,       1.54,       9.22,       8.47,      22.83,Ammonium,       0.22
Boonsri,2010-07-24,       1.49,      10.64,       6.71,      22.17,Ammonium,       0.20
Boonsri,2010-08-18,       1.40,      13.23,       5.91,      23.83,Ammonium,       0.37
Boonsri,2010-09-12,       1.51,      11.90,       6.51,       6.27,Ammonium,       0.18
Boonsri,2010-09-25,       1.62,      10.58,       7.11,      15.83,Ammonium,       0.35
Boonsri,2010-09-29,       1.56,      10.16,       7.60,       6.33,Ammonium,       0.14
Boonsri,2010-10-09,       1.51,       9.75,       8.09,      23.33,Ammonium,       0.50
Boonsri,2010-10-15,       1.45,       9.34,       8.57,      16.00,Ammonium,       0.13
Boonsri,2010-10-21,       1.39,       8.92,       9.06,      14.83,Ammonium,       0.03
Boonsri,2010-10-28,       1.41,       9.31,       9.24,      13.83,Ammonium,       0.29
Boonsri,2010-11-11,       1.44,       9.70,       9.42,      13.00,Ammonium,       0.15
Boonsri,2010-11-18,       1.46,      10.08,       9.60,       6.03,Ammonium,       0.29
Boonsri,2010-11-24,       1.96,       9.88,      10.75,       5.00,Ammonium,       0.23
Boonsri,2010-12-16,       2.46,       9.68,      11.90,       3.00,Ammonium,       0.79
Boonsri,2011-01-20,       1.61,      10.00,      12.18,       4.83,Ammonium,       0.50
Boonsri,2011-02-17,       2.78,      13.23,      11.96,       2.17,Ammonium,       0.08
Boonsri,2011-03-19,       2.42,      13.10,      10.57,       5.00,Ammonium,       0.08
Boonsri,2011-04-02,       1.86,       6.55,      10.07,       8.00,Ammonium,       0.18
Boonsri,2011-04-23,       1.30,       0.00,       9.56,      15.00,Ammonium,       0.07
Boonsri,2011-05-18,       1.40,       9.76,       8.67,      20.00,Ammonium,       0.04
Boonsri,2011-06-01,       1.60,       9.87,       7.30,       1.00,Ammonium,       0.29
Boonsri,2011-06-23,       1.80,       9.97,       5.93,      22.17,Ammonium,       0.13
Boonsri,2011-07-20,       1.50,      12.21,       7.70,      22.33,Ammonium,       0.08
Boonsri,2011-08-18,       1.24,      10.34,       7.54,      25.50,Ammonium,       0.07
Boonsri,2011-09-04,       1.39,      10.33,       7.83,      12.50,Ammonium,       0.06
Boonsri,2011-09-28,       1.54,      10.33,       8.13,      21.17,Ammonium,       0.05
Boonsri,2011-10-03,       1.37,      10.44,       8.57,       7.00,Ammonium,       0.13
Boonsri,2011-10-26,       1.20,      10.55,       9.01,      12.00,Ammonium,       0.07
Boonsri,2011-11-11,       0.60,      10.67,       9.27,      11.00,Ammonium,       0.08
Boonsri,2011-11-26,       0.00,      10.78,       9.53,      10.00,Ammonium,       0.10
Boonsri,2011-12-05,       0.00,      10.45,       9.82,      17.83,Ammonium,       0.14
Boonsri,2011-12-14,       0.00,      10.13,      10.11,       6.50,Ammonium,       0.10
Boonsri,2012-01-26,       1.22,      13.33,      13.33,       1.00,Ammonium,       0.10
Boonsri,2012-02-15,       3.00,      12.65,      13.06,       1.30,Ammonium,       0.23
Boonsri,2012-03-24,       3.76,       2.73,      12.62,       8.00,Ammonium,       0.06
Boonsri,2012-04-15,       3.00,      10.25,      10.07,      11.83,Ammonium,       0.10
Boonsri,2012-05-25,       3.13,       7.79,       8.57,      16.83,Ammonium,       0.07
Boonsri,2012-06-17,       3.00,      11.71,       7.41,      23.33,Ammonium,       0.09
Boonsri,2012-07-20,       3.00,       9.43,       6.56,      27.00,Ammonium,       0.08
Boonsri,2012-08-23,       3.00,       9.76,       6.89,      24.00,Ammonium,       0.06
Boonsri,2012-09-23,       3.00,      10.84,       7.81,      17.87,Ammonium,       0.08
Boonsri,2012-10-05,       3.00,      17.43,       8.18,      18.00,Ammonium,       0.15
Boonsri,2012-10-29,       3.00,      10.33,       9.02,       9.17,Ammonium,       0.07
Boonsri,2012-11-17,       3.00,       9.67,       9.69,      10.00,Ammonium,       0.04
Boonsri,2012-12-13,       1.50,      10.61,      11.90,       4.00,Ammonium,       0.09
Boonsri,2013-01-17,       0.00,      11.56,      11.81,       2.00,Ammonium,       0.05
Boonsri,2013-02-21,       0.00,      10.17,      12.23,       3.23,Ammonium,       0.15
Boonsri,2013-03-15,       0.00,      12.79,      11.68,       6.33,Ammonium,       0.05
Boonsri,2013-04-14,       0.00,      13.75,       9.79,      13.33,Ammonium,       0.10
Boonsri,2013-05-17,       1.15,       9.39,       8.80,      17.83,Ammonium,       0.07
Boonsri,2013-06-20,       0.52,      10.06,       7.88,      22.83,Ammonium,       0.07
Boonsri,2013-07-19,       0.00,       9.56,       7.47,      25.83,Ammonium,       0.09
Boonsri,2013-08-16,       0.00,      11.15,       7.71,      26.00,Ammonium,       0.00
Boonsri,2013-09-26,       2.35,      11.94,       7.67,      19.67,Ammonium,       0.10
Boonsri,2013-10-18,       2.01,      12.28,       8.56,      14.00,Ammonium,       0.08
Boonsri,2013-11-14,       1.40,      11.26,      10.03,      10.00,Ammonium,       0.11
Boonsri,2013-12-14,       2.12,      10.08,      11.03,       6.50,Ammonium,       0.12
Boonsri,2014-01-08,       1.91,      10.40,       6.42,      24.73,Ammonium,       0.07
Boonsri,2014-01-23,       3.46,      15.03,      12.31,       4.33,Ammonium,       0.13
Boonsri,2014-02-21,       2.71,      14.99,      12.55,       2.67,Ammonium,       0.16
Boonsri,2014-02-24,       1.95,      14.95,      12.80,       1.00,Ammonium,       0.19
Boonsri,2014-03-15,       2.00,      10.54,      10.28,       5.00,Ammonium,       0.21
Boonsri,2014-03-20,       2.03,      10.95,      11.24,       7.83,Ammonium,       0.07
Boonsri,2014-03-21,       2.24,      10.75,      10.45,      10.92,Ammonium,       0.05
Boonsri,2014-04-23,       2.44,      10.54,       9.66,      14.00,Ammonium,       0.04
Boonsri,2014-05-12,       1.90,      13.26,      10.98,       9.00,Ammonium,       0.15
Boonsri,2014-05-16,       2.36,      13.23,       7.56,      16.67,Ammonium,       0.08
Boonsri,2014-05-22,       2.11,      11.16,      10.03,      18.00,Ammonium,       0.03
Boonsri,2014-06-14,       2.85,      12.11,       7.70,      22.00,Ammonium,       0.04
Boonsri,2014-06-20,       2.80,      11.74,       7.65,      22.75,Ammonium,       0.05
Boonsri,2014-06-21,       2.76,      11.37,       7.61,      23.50,Ammonium,       0.05
Boonsri,2014-07-16,       2.49,      12.85,       7.28,      28.00,Ammonium,       0.06
Boonsri,2014-07-23,       2.37,      10.61,       7.53,      24.00,Ammonium,       0.04
Boonsri,2014-07-25,       2.31,      10.76,       7.48,      24.06,Ammonium,       0.05
Boonsri,2014-08-22,       2.25,      10.92,       7.42,      24.11,Ammonium,       0.06
Boonsri,2014-08-27,       2.19,      11.07,       7.36,      24.17,Ammonium,       0.08
Boonsri,2014-09-17,       1.21,      11.27,       6.91,      21.33,Ammonium,       0.08
Boonsri,2014-09-26,       1.28,      11.07,       7.38,      22.42,Ammonium,       0.04
Boonsri,2014-10-09,       1.35,      10.87,       7.85,      23.50,Ammonium,       0.00
Boonsri,2014-10-23,       1.31,       9.46,       8.66,      15.83,Ammonium,       0.07
Boonsri,2014-10-24,       1.37,       8.86,       9.03,      14.42,Ammonium,       0.23
Boonsri,2014-10-31,       1.44,       8.26,       9.39,      13.00,Ammonium,       0.38
Boonsri,2014-11-04,       2.22,       9.30,      10.85,      11.83,Ammonium,       0.01
Boonsri,2014-11-10,       1.32,      12.08,       8.58,      18.00,Ammonium,       0.07
Boonsri,2014-11-12,       1.60,      12.41,      11.76,       5.00,Ammonium,       0.08
Boonsri,2014-11-19,       1.65,      11.45,      11.14,       9.50,Ammonium,       0.07
Boonsri,2014-11-27,       1.53,       9.64,       8.68,       8.50,Ammonium,       0.04
Boonsri,2014-11-28,       1.52,       9.49,       9.78,       9.58,Ammonium,       0.05
Boonsri,2014-12-11,       1.50,       9.34,      10.87,      10.67,Ammonium,       0.07
Boonsri,2014-12-12,       1.42,       9.84,      11.03,      19.17,Ammonium,       0.06
Boonsri,2015-01-08,       1.34,      10.34,      11.19,      27.67,Ammonium,       0.06
Boonsri,2015-01-21,       1.95,      10.85,      11.35,       3.00,Ammonium,       0.08
Boonsri,2015-01-29,       1.77,      11.35,      11.50,       3.50,Ammonium,       0.08
Boonsri,2015-02-18,       1.59,      11.85,      11.66,       4.00,Ammonium,       0.08
Boonsri,2015-02-27,       1.65,      11.78,      11.60,       4.50,Ammonium,       0.09
Boonsri,2015-03-12,       1.71,      11.72,      11.53,       5.00,Ammonium,       0.10
Boonsri,2015-03-19,       1.46,      11.65,      11.47,       7.67,Ammonium,       0.07
Boonsri,2015-04-22,       1.69,       9.94,      10.43,      12.00,Ammonium,       0.04
Boonsri,2015-04-23,       2.27,       9.97,       9.60,       8.50,Ammonium,       0.05
Boonsri,2015-05-03,       2.85,      10.01,       8.77,       5.00,Ammonium,       0.06
Boonsri,2015-05-15,       1.41,      10.04,       7.94,      17.67,Ammonium,       0.06
Boonsri,2015-05-21,       1.41,       9.69,       7.52,      18.00,Ammonium,       0.04
Boonsri,2015-05-28,       1.41,       9.34,       7.10,      18.33,Ammonium,       0.03
Boonsri,2015-06-17,       1.39,       9.00,       6.68,      20.00,Ammonium,       0.07
Boonsri,2015-06-25,       1.43,       8.79,       7.18,      21.22,Ammonium,       0.07
Boonsri,2015-07-11,       1.47,       8.58,       7.68,      22.44,Ammonium,       0.06
Boonsri,2015-07-16,       1.51,       8.37,       8.18,      23.67,Ammonium,       0.05
Boonsri,2015-07-23,       1.41,       8.35,       7.96,      24.33,Ammonium,       0.08
Boonsri,2015-07-24,       1.31,       8.33,       7.74,      25.00,Ammonium,       0.11
Boonsri,2015-08-04,       1.57,       8.30,       7.52,       8.50,Ammonium,       0.04
Boonsri,2015-08-20,       0.86,       8.28,       7.30,      26.17,Ammonium,       0.05
Boonsri,2015-08-21,       1.06,      10.27,       9.27,      14.00,Ammonium,       0.09
Boonsri,2015-09-01,       1.26,      12.25,      11.23,       1.83,Ammonium,       0.13
Boonsri,2015-09-09,       0.88,       8.74,       7.52,      20.40,Ammonium,       0.06
Boonsri,2015-09-10,       1.65,       9.49,       9.52,      19.00,Ammonium,       0.07
Boonsri,2015-09-12,       1.54,      10.24,      11.52,       5.00,Ammonium,       0.07
Boonsri,2015-09-17,       1.42,      10.14,      10.74,      21.00,Ammonium,       0.11
Boonsri,2015-10-06,       1.45,      10.04,       9.97,      18.17,Ammonium,       0.05
Boonsri,2015-10-21,       0.99,       9.94,       9.20,      14.00,Ammonium,       0.11
Boonsri,2015-10-22,       1.25,      10.02,       9.27,      14.58,Ammonium,       0.07
Boonsri,2015-10-28,       1.51,      10.09,       9.34,      15.17,Ammonium,       0.04
Boonsri,2015-11-01,       1.67,      10.16,       9.42,      15.08,Ammonium,       0.02
Boonsri,2015-11-11,       1.82,      10.24,       9.49,      15.00,Ammonium,       0.00
Boonsri,2015-11-18,       1.32,      10.31,       9.67,      14.00,Ammonium,       0.07
Boonsri,2015-11-26,       1.47,      10.38,       9.86,       9.50,Ammonium,       0.10
Boonsri,2015-12-02,       2.10,      10.45,      10.04,       4.00,Ammonium,       0.12
Boonsri,2015-12-13,       1.84,      10.52,      10.22,       4.75,Ammonium,       0.10
Boonsri,2016-01-22,       1.58,      10.59,      10.40,       5.50,Ammonium,       0.08
Boonsri,2016-01-28,       2.08,      10.66,      10.59,      14.00,Ammonium,       0.06
Boonsri,2016-02-07,       2.58,      10.73,      10.77,      22.50,Ammonium,       0.04
Boonsri,2016-02-17,       1.77,      10.80,      10.95,       6.00,Ammonium,       0.08
Boonsri,2016-02-18,       1.84,      10.88,      10.92,      13.00,Ammonium,       0.04
Boonsri,2016-03-06,       1.90,      10.96,      10.89,      20.00,Ammonium,       0.00
Boonsri,2016-03-12,       2.02,      11.04,      10.86,       7.00,Ammonium,       0.12
Boonsri,2016-03-17,       1.78,      11.13,      10.83,       9.00,Ammonium,       0.02
Boonsri,2016-03-25,       1.82,      11.07,      10.28,       9.25,Ammonium,       0.04
Boonsri,2016-04-15,       1.86,      11.02,       9.73,       9.50,Ammonium,       0.05
Boonsri,2016-04-22,       1.94,      10.96,       9.18,      12.25,Ammonium,       0.05
Boonsri,2016-04-28,       2.03,      10.90,       8.63,      15.00,Ammonium,       0.05
Boonsri,2016-05-08,       2.07,      11.26,       8.38,      22.50,Ammonium,       0.05
Boonsri,2016-05-11,       2.09,      11.62,       8.12,       8.00,Ammonium,       0.20
Boonsri,2016-05-28,       2.11,      11.98,       7.87,      22.83,Ammonium,       0.06
Boonsri,2016-06-02,       1.75,      11.93,       7.39,       1.00,Ammonium,       0.16
Boonsri,2016-06-10,       1.78,      11.88,       6.91,      16.00,Ammonium,       0.20
Boonsri,2016-06-16,       2.22,      11.84,       6.43,      21.00,Ammonium,       0.06
Boonsri,2016-06-23,       2.53,      11.52,       6.80,      18.75,Ammonium,       0.03
Boonsri,2016-07-05,       2.84,      11.21,       7.17,      16.50,Ammonium,       0.00
Boonsri,2016-07-21,       2.23,      10.90,       7.53,      25.33,Ammonium,       0.00
Boonsri,2016-07-24,       2.02,      11.05,       9.78,      15.67,Ammonium,       0.06
Boonsri,2016-08-01,       1.81,      11.20,      12.02,       6.00,Ammonium,       0.11
Boonsri,2016-08-18,       2.31,      10.91,      10.04,      14.50,Ammonium,       0.10
Boonsri,2016-08-21,       2.81,      10.62,       8.07,      23.00,Ammonium,       0.09
